,st1,st2,st3,st4
4,-0.27738820251439905,0.8654076293246785,0.8654076293246785,-0.27738820251439905
5,-0.5211919007776262,-1.7822941192854755,-1.7822941192854755,-0.5211919007776262
6,-0.31224016119471576,0.4158130038477912,0.4158130038477912,-0.31224016119471576
7,-0.8521589450674683,0.6287544777264895,0.32586180746285187,-0.7550730741874285
8,-0.8262758182023329,-0.6760580019611777,0.06890200789419348,-0.6826930012821795
9,-0.935903950596963,-0.5525624172786098,-0.784056103382939,-0.9520131305629015
10,-2.224035639807388,1.7735160216747041,1.2305898566056779,-2.05382436369952
11,-0.7474208909473922,-1.303502972682073,-0.9484026291443999,-0.5652864249656196
12,0.4449434341634368,-2.023367486220189,-1.5109396719029116,0.5861463501922356
13,0.6439404435700564,0.03443726057638563,-0.849810555438884,1.1788036782661282
14,-0.22027974559331145,0.8489899636698742,1.1759305402544278,-0.33521683195393226
15,-0.4185669911134889,-2.017185707639154,-1.000159581896268,-0.952147643423773
16,-0.2796579081105909,-1.6133305388314203,-1.9515656983341532,-0.39835097412718734
17,-1.7428977850305942,-0.6464080543595659,-1.634607967667543,-1.2045882108228803
18,-0.2724707581064614,-1.2736619195981285,-0.2915614889593313,-0.07145776637960877
19,-0.9374412851435879,-1.116790898917179,-0.13484313744016108,-1.255240342835213
20,-2.885798520195803,-1.8410807787354864,-2.349217396089812,-2.4777821175399417
21,-1.8466261566714697,-0.5164508314452139,-0.8985130964016306,-1.7623631591168136
22,0.5877033175299377,0.36229082610428764,0.9180064623389383,0.7077207566412969
23,-0.8767328593907466,-0.4139524611168355,0.4534309584902299,-0.11650019218456972
24,-3.018774160489926,0.1822816427513746,-0.2391930867151365,-2.7900523290594634
25,-1.8498455163178245,-0.1965695569154564,-0.9564503206724262,-2.7211993807587875
26,-0.1927430970544104,-0.5852831752751192,-0.14499939461735414,0.03646823398525012
27,-1.834347478867171,-1.1003713224235412,-0.6608507197064708,-0.33956599100354934
28,-3.1065137699456864,-0.8901246103384244,-1.0393738856503392,-2.912454513553322
29,-1.6785549085232865,-0.08330612543038973,-0.28052104909149933,-2.8152895344796054
30,-0.6141657829319149,-1.2448669695784944,-0.8302087554984456,-0.17646531517280073
31,-0.06338185303784072,-1.7417690982108542,-1.4058010773024785,1.5766112777715986
32,-2.272891141865368,-1.4170883559738365,-1.7435539470111965,-2.249927384552662
33,-2.401053088448578,-2.0443348043247114,-1.8583531181211748,-3.496470922629788
34,-1.6068979022126013,-2.6919588753870927,-2.0457952590864883,-1.7366193458790715
35,-4.253929787277414,-2.006501332035429,-1.784910077444228,-2.6477741412905487
36,-4.674817685312462,-2.9446578482677053,-2.8351852901721983,-4.002710110220254
37,-3.6774159673959117,-2.8147998243038668,-2.2976743850756405,-4.4627511785659255
38,-2.65777716698053,-0.5502312954169384,-0.2089937346696049,-1.8873974356253782
39,-3.8957281224891687,-0.804915163169061,-0.3110831433674843,-2.253196828635131
40,-5.737580346411727,-2.4800751386506765,-2.1122882043179674,-5.3718957634038755
41,-3.4875983357164846,-2.519361405116381,-2.9390107855762073,-4.123054972148569
42,-3.4545653426955356,-2.078193209443806,-2.058905211114153,-2.667743006205902
43,-6.785906984344043,-0.5347055001590963,0.4906347383422087,-4.775652756246082
44,-6.073143064483504,-1.4101105660677535,-0.805094485347361,-5.9849511510134334
